Timestamp,Data
2023-08-02 16:15:08.452457,1AcX	AcY	AcZ	GyX	GyY	GyZ
2023-08-02 16:15:21.130639,-1280	-343	4770	-754	355	-167
2023-08-02 16:15:21.163734,-1092	-449	4760	-874	137	-465
2023-08-02 16:15:21.192163,-1332	-465	4853	113	241	-522
2023-08-02 16:15:21.225166,-1665	-361	4814	1033	461	-140
2023-08-02 16:15:21.257169,-1146	-344	4665	595	232	553
2023-08-02 16:15:21.286771,-1297	-527	4801	-804	-79	671
2023-08-02 16:15:21.318767,-824	-447	4794	-1841	-333	365
2023-08-02 16:15:21.351765,-1397	-889	4788	-1333	-218	-21
2023-08-02 16:15:21.384300,-897	-1019	4710	197	211	-303
2023-08-02 16:15:21.417397,-1031	-610	4751	1055	627	-169
2023-08-02 16:15:21.442430,-926	-469	4769	543	550	-6
