Timestamp,Data
2023-08-01 11:58:52.826951,8-58
2023-08-01 11:59:02.656784,-1341	2051	551	-26	-210	6
2023-08-01 11:59:02.689302,-1067	1688	534	-26	-147	-109
2023-08-01 11:59:02.722617,-1205	988	420	-237	-200	-128
2023-08-01 11:59:02.751005,-1090	1843	632	-368	-299	-68
2023-08-01 11:59:02.779463,-367	2144	619	-230	-200	6
2023-08-01 11:59:02.807689,-70	3222	532	-132	-216	9
2023-08-01 11:59:02.832830,64	3542	480	-11	-174	-33
2023-08-01 11:59:02.861703,-291	2388	479	-1	-114	-80
2023-08-01 11:59:02.893830,-851	3664	390	-194	-195	-130
2023-08-01 11:59:02.926683,-1436	3070	490	-379	-247	-115
2023-08-01 11:59:02.955793,-2220	3275	562	-295	-325	16
2023-08-01 11:59:02.983987,-2797	2630	644	-84	-178	-38
2023-08-01 11:59:03.016662,-2203	2122	477	17	-149	-50
2023-08-01 11:59:03.045681,-1234	1926	536	-31	-190	-72
2023-08-01 11:59:03.078465,-879	2820	475	-240	-245	-130
2023-08-01 11:59:03.106830,-269	2882	519	-367	-227	-96
2023-08-01 11:59:03.136070,-689	2566	441	-326	-253	-15
2023-08-01 11:59:03.168979,-987	1601	586	-126	-278	-19
2023-08-01 11:59:03.197619,-4178	3939	487	57	-64	-81
2023-08-01 11:59:03.225888,-2518	3705	403	-69	-203	-90
2023-08-01 11:59:03.257847,-4677	3554	373	-285	-119	-147
2023-08-01 11:59:03.287459,-2255	2815	441	-310	-279	-56
2023-08-01 11:59:03.320620,-2055	2976	539	-282	-206	-60
2023-08-01 11:59:03.348011,-2501	1618	624	-99	-120	35
2023-08-01 11:59:03.377785,-2534	1981	522	49	-125	-41
2023-08-01 11:59:03.409013,-2003	1530	466	-47	-192	-61
2023-08-01 11:59:03.443147,-1161	1679	406	-305	-216	-167
2023-08-01 11:59:03.471907,-890	1873	543	-368	-257	-36
2023-08-01 11:59:03.504406,-1177	1767	571	-244	-178	-56
2023-08-01 11:59:03.532937,-1353	1942	548	-77	-201	-29
2023-08-01 11:59:03.562069,-1059	2325	581	65	-83	-90
2023-08-01 11:59:03.591064,-2258	2324	534	-52	-141	-156
2023-08-01 11:59:03.623756,-1917	1645	433	-394	-190	-108
2023-08-01 11:59:03.655831,-1462	1665	467	-405	-162	-33
2023-08-01 11:59:03.689151,-1234	2227	577	-189	-219	-52
2023-08-01 11:59:03.717831,-1612	2283	516	-15	-116	-73
2023-08-01 11:59:03.746018,-2263	2939	594	16	-128	-34
2023-08-01 11:59:03.774920,-1364	2518	430	-74	-91	-118
2023-08-01 11:59:03.807326,-1271	2505	464	-367	-139	-53
2023-08-01 11:59:03.835918,-2073	2918	583	-399	-208	57
2023-08-01 11:59:03.869073,-1014	1967	587	-166	-120	-38
2023-08-01 11:59:03.898044,-830	2143	562	26	-82	-73
2023-08-01 11:59:03.926577,-1029	2794	471	-3	-55	-78
2023-08-01 11:59:03.955113,-908	1832	427	-93	-150	-84
2023-08-01 11:59:03.988125,-2855	1918	499	-351	-118	-171
2023-08-01 11:59:04.016922,-1081	3024	502	-392	-107	18
2023-08-01 11:59:04.045307,-1327	1928	703	-153	-58	34
2023-08-01 11:59:04.074208,-2477	1862	522	1	-84	-71
